team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
MIA,9,5.78245,13,31,6,107,23,51,50,10,4,23,31,6.590909090909091
MIA,1,0.874636,75,127,60,539,35,133,140,60,39,65,132,10.433962264150944
MIA,1,2.59344,7,73,29,196,23,71,66,26,6,33,52,10.666666666666666
MIA,6,1.227,87,26,11,324,12,129,36,20,11,25,118,4.926470588235294
MIA,0,0.374933,12,21,20,98,25,57,21,10,10,18,52,4.2
MIA,0,0.543471,73,117,44,497,94,162,124,46,18,56,140,7.538461538461538
MIA,2,5.628,93,264,195,1002,50,243,233,84,44,90,176,14.246575342465754
MIA,13,4,0,11,9,31,8,28,6,6,1,8,22,3.375
MIA,7,6,149,82,37,648,18,114,70,35,4,30,70,8.53225806451613
MIA,1,1.015696,1,161,49,374,129,203,26,18,47,31,137,8.507042253521126
DET,4,22.11675,2,481,137,1105,345,770,90,124,89,152,237,21.296296296296298
DET,4,6.5,0,143,79,365,111,222,32,17,39,50,166,7.8
DET,12,1.551659,11,81,32,227,6,51,131,13,0,36,29,7.3076923076923075
DET,1,7,0,72,47,191,46,84,9,6,12,10,25,7.628571428571429
DET,1,0.874636,12,35,21,127,2,31,33,11,2,28,39,2.358974358974359
DET,0,1.70412,10,13,4,60,8,33,7,1,1,14,6,2.6842105263157894
DET,6,6,28,301,72,758,21,214,418,61,33,112,127,11.641975308641975
DET,5,10.991957,49,261,98,767,102,300,111,31,26,66,145,12.266666666666667
DET,3,3.678319,153,217,154,1047,55,193,193,89,12,86,118,12.026315789473685
DET,5,4.625,118,303,145,1105,77,289,160,52,25,87,168,12.594936708860759
DET,0,0.65,0,1,2,4,2,1,2,0,0,0,2,0
DET,3,2.255644,28,26,5,141,13,51,29,18,3,10,22,5.451612903225806
DET,5,14.956522,66,218,118,752,21,93,270,35,5,114,129,12.51923076923077
DET,1,2.96988,45,84,36,339,36,153,105,56,24,71,121,5.0519480519480515
DET,5,17.2,109,402,190,1321,63,353,142,60,39,96,133,15.78048780487805
